id,revenue
3001,5802914.521163149
3002,1711761.918747318
3003,7126600.546259288
3004,11462800.849161407
3005,714439.0563625467
3006,2842024.931014209
3007,2559537.2139138095
3008,28218871.176585454
3009,27122515.397594795
3010,447129375.9075964
3011,238981.5788588332
3012,139899.42577124463
3013,29009706.16789822
3014,304127.8617412185
3015,17204839.21135494
3016,59031.08440430742
3017,104221373.72909078
3018,166175401.96516535
3019,13069448.850348141
3020,337192994.0293701
3021,26350078.93371567
3022,21550537.720771797
3023,233781.0346553156
3024,10177278.648834594
3025,293805.5708739653
3026,98978779.13176644
3027,4032413.016827625
3028,112973836.77341697
3029,125434.40847917777
3030,18496791.583551176
3031,4277763.203251522
3032,3115635.2181805875
3033,572.803366050533
3034,209287.6264444891
3035,380210.40439136495
3036,25532657.613526933
3037,45143544.36315619
3038,22615349.740870833
3039,5219501.122530276
3040,2417245.6865337417
3041,19098270.36318161
3042,1397450.079638101
3043,4858439.459144673
3044,2617497.4693269813
3045,690911352.4903567
3046,665245.7258223138
3047,1909975.334727977
3048,25736070.496472694
3049,46936971.94780066
3050,41572507.49811955
3051,79.30322690820826
3052,11145591.829391528
3053,70817.97294539063
3054,423977.3859017828
3055,48607468.626590334
3056,66756.0064263581
3057,19199329.89798133
3058,251919239.4693054
3059,517190.00221136375
3060,100383117.57647842
3061,30519996.620821297
3062,7244664.285863651
3063,7515997.329764905
3064,62447761.699147545
3065,45847883.43098277
3066,33849628.0182547
3067,146116.37514816073
3068,111020794.4439311
3069,267996005.19514173
3070,486592.14374580723
3071,4213282.480998206
3072,381812607.8755858
3073,1242977.9750014269
3074,243392.69015089757
3075,85191858.40642852
3076,127479753.7882767
3077,1738392.6513042361
3078,87595274.79972059
3079,32072907.26014545
3080,190980458.18302912
3081,16424536.786754057
3082,4009947.4656631714
3083,7824992.815846927
3084,357.19455811118365
3085,20293413.64855022
3086,77097702.56534168
3087,58733.78958264715
3088,246807.42202979204
3089,30982.99020808735
3090,48526605.353499256
3091,14837365.707903165
3092,1053047.9215061925
3093,203484813.92245993
3094,143540442.54623556
3095,34450635.16596861
3096,2232173.2148020854
3097,657062977.0330619
3098,33565180.86839936
3099,50482198.33913234
3100,4779334.985867521
3101,9214845.351971619
3102,119040.81420235349
3103,1222210.005308545
3104,1113585.9703465898
3105,60739286.51269601
3106,65319981.02054697
3107,31520581.416075535
3108,5697659.720720179
3109,11520038.923786594
3110,365242553.80898434
3111,1024192.0521514704
3112,155123.330287687
3113,2451227.878080427
3114,18916387.167499196
3115,11865251.555063065
3116,5711118.228977046
3117,424814.95766368794
3118,549533.6397550787
3119,334976206.2163274
3120,34645415.18342508
3121,328717.97462990077
3122,4103022.0572436126
3123,11241406.514439724
3124,733217.824076737
3125,259.89323677441394
3126,35404615.1074398
3127,7760819.008226387
3128,23818906.58349433
3129,309174093.30066884
3130,12783129.615584916
3131,651700.9906224741
3132,4974659.102423445
3133,1075767.3173867622
3134,8690713.329497201
3135,1254252.703046462
3136,4030606.867281774
3137,27992675.271693423
3138,569042.8969058832
3139,18525817.12217396
3140,148608319.38072014
3141,10483981.596813409
3142,32.40797401703031
3143,214174876.1457968
3144,5518486.353015914
3145,1428686.9635847197
3146,821304.7099573093
3147,7596113.615357518
3148,1018078.5042074823
3149,15148019.625814132
3150,64280899.09351987
3151,9013615.056222193
3152,26457133.054446828
3153,972512.6617249304
3154,3468197.5689978404
3155,34610659.56398127
3156,5508449.024428742
3157,16156282.312256925
3158,228533577.09153205
3159,4774708.392253594
3160,14370868.156247007
3161,167979.88148302276
3162,2308924.678698034
3163,149833841.41980076
3164,1308126.3446756497
3165,83475.46806838823
3166,461937.590976127
3167,85743387.01679607
3168,428869.7102058839
3169,23947992.900308244
3170,9047838.9979995
3171,32038565.640859596
3172,28854784.475470193
3173,548675.6353658861
3174,339457.6999626096
3175,14291890.04039313
3176,52059463.08111488
3177,122599972.25469354
3178,1433890.4535219877
3179,6623011.980241526
3180,1141685.8684319707
3181,404611.4311361388
3182,191904610.58229017
3183,26646043.36152491
3184,39915131.42842802
3185,100975026.43635955
3186,69468478.2420142
3187,2019691.7366851978
3188,9163360.607451264
3189,101447729.60547289
3190,22779874.45455192
3191,7200647.654246724
3192,1302553.320691404
3193,222404805.57112628
3194,36607039.85248044
3195,82184.06806317688
3196,4698483.648448252
3197,2362698.6747626546
3198,48868629.96295773
3199,318881552.4737544
3200,13252906.30044164
3201,6941.859710230735
3202,6019666.094488569
3203,1284629.48418579
3204,2490343.5408718004
3205,1097687.3081978112
3206,23718674.414610993
3207,57380871.175436966
3208,1214653.8980093452
3209,4755656.1272465475
3210,680496205.6466925
3211,450433.66828292183
3212,78758448.58900517
3213,27793979.1516456
3214,6854045.877476981
3215,2387669.8432387747
3216,5723139.266210141
3217,399752263.2191489
3218,6910014.457429485
3219,176424.06115746047
3220,72762386.58364935
3221,9880410.694733085
3222,246.22349954128595
3223,25878670.948691454
3224,80.09961790254324
3225,4117306.599549609
3226,12085813.977708586
3227,63444703.07474047
3228,116736722.06498715
3229,168529298.47724372
3230,26957138.514821123
3231,26917231.58352445
3232,14907182.360354574
3233,2470035.496046946
3234,2499892.3387044678
3235,425278.32644865604
3236,100536.5071525329
3237,14916939.485098
3238,2066625.8460922071
3239,58390.481374331306
3240,297601058.45058846
3241,2358490.344593295
3242,5077754.437029237
3243,2811194.5886846595
3244,582058.538493521
3245,324465.7722824529
3246,11963882.56398721
3247,10322799.563757706
3248,61574813.48544833
3249,37798456.960852996
3250,379227840.4932043
3251,648802.4909885104
3252,19209936.181435786
3253,105606381.46903501
3254,488996.2169880358
3255,142254.79310957488
